Player, Age, Team, Pos, GP, G, A, PTS, +/-, PIM, PS, EV, PP, SH, GW, EV, PP, SH, S, S%, TOI, ATOI, BLK, HIT, FOW, FOL, FO%
Jeremy Davies,26,BUF,D,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,14,9,8:33,1,0,0,0,43.5
Calvin de Haan,31,CAR,D,28,1,5,6,0,14,1.1,1,0,0,0,5,0,0,25,11.9,359,12:49,29,46,0,0,37.5
Anthony DeAngelo,27,PHI,D,30,6,12,18,-14,34,2.2,3,3,0,0,6,6,0,74,2.6,730,24:21:00,40,20,0,0,57.5
Alex DeBrincat,25,OTT,RW,34,11,22,33,-10,10,3,6,5,0,1,8,14,0,123,0,665,19:34,16,46,3,1,47.1
Jake DeBrusk,26,BOS,LW,33,14,13,27,13,8,3.4,9,5,0,3,7,5,1,100,0,565,17:07,13,47,2,5,49.7
Ty Dellandrea,22,DAL,C,36,5,9,14,3,23,1.1,5,0,0,2,8,0,1,42,4.5,511,14:12,23,58,41,41,50
Dylan DeMelo,29,WPG,D,31,1,8,9,8,18,2.2,1,0,0,0,6,0,2,39,13.2,591,19:04,33,60,0,0,52.9
Grigori Denisenko,22,FLA,LW,6,0,1,1,-2,0,-0.1,0,0,0,0,1,0,0,4,9.8,62,10:23,0,9,0,0,100
Semyon Der-Arguchintsev,22,TOR,C,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,7:16,0,0,0,0,52
Nick DeSimone,28,CGY,D,4,0,0,0,-4,2,-0.2,0,0,0,0,0,0,0,4,9.6,45,11:15,4,2,0,0,0
Nicolas Deslauriers,31,PHI,LW,35,1,4,5,-5,64,-0.2,1,0,0,0,4,0,0,22,15.3,360,10:18,11,145,1,3,51.1
Connor Dewar,23,MIN,C,33,5,6,11,1,29,1,2,0,3,0,5,0,1,38,14.6,374,11:21,20,53,84,96,54.3
Jason Dickinson,27,CHI,C,29,4,6,10,-10,12,0.4,3,1,0,1,4,0,2,41,0,445,15:20,28,42,142,136,76.9
Brenden Dillon,32,WPG,D,35,0,9,9,1,44,1.8,0,0,0,0,8,0,1,45,2.8,703,20:04,49,93,0,0,50
Noah Dobson,23,NYI,D,36,10,14,24,3,8,4.1,7,3,0,2,8,6,0,104,23.5,748,20:47,51,31,0,0,38.8
Max Domi,27,CHI,LW,33,11,12,23,-12,37,2.1,5,6,0,2,7,5,0,72,17.8,612,18:33,9,10,239,187,41.2
Ryan Donato,26,SEA,C,28,7,3,10,8,16,1.3,7,0,0,0,2,1,0,48,9.4,311,11:07,4,27,21,21,0
Pavel Dorofeyev,22,VEG,LW,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,11:28,1,0,0,0,16.7
Drew Doughty,33,LAK,D,37,2,18,20,5,22,3.1,0,2,0,0,10,8,0,71,0,979,26:27:00,57,54,0,0,57.2
Nic Dowd,32,WSH,C,36,8,6,14,7,18,1.7,8,0,0,2,5,0,1,34,0,472,13:06,31,76,239,244,52.1
Leon Draisaitl,27,EDM,C,36,21,36,57,4,16,6,8,13,0,8,21,14,1,118,13.1,800,22:14,25,20,353,317,33.3
Sheldon Dries,28,VAN,C,19,3,4,7,-7,8,0.3,2,1,0,0,3,1,0,32,18.2,210,11:04,9,19,93,82,60
Jonathan Drouin,27,MTL,LW,18,0,5,5,-8,2,-0.2,0,0,0,0,2,3,0,21,12.8,250,13:55,5,13,18,21,32.4
Jack Drury,22,CAR,C,21,0,2,2,4,10,0,0,0,0,0,2,0,0,32,14.3,206,9:50,9,6,47,37,33.3
Jamie Drysdale,20,ANA,D,8,0,0,0,-3,2,-0.1,0,0,0,0,0,0,0,8,6.5,141,17:37,6,7,0,0,33.3
