Player, Age, Team, Pos, GP, G, A, PTS, +/-, PIM, PS, EV, PP, SH, GW, EV, PP, SH, S, S%, TOI, ATOI, BLK, HIT, FOW, FOL, FO%
Nathan Beaulieu,30,ANA,D,21,0,3,3,-11,30,-0.2,0,0,0,0,3,0,0,10,0.0,276,13:09,36,28,0,0,
Anthony Beauvillier,25,NYI,LW,32,8,8,16,2,6,1.6,8,0,0,1,8,0,0,70,11.4,486,15:11,12,24,0,0,
Adam Beckman,21,MIN,LW,4,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,6,0.0,38,9:33,1,2,0,0,
Pierre-Edouard Bellemare,37,TBL,LW,30,1,2,3,-3,13,-0.3,1,0,0,0,2,0,0,15,6.7,353,11:46,24,38,138,131,51.3
Kieffer Bellows,24,TOT,LW,13,0,0,0,-6,6,-0.4,0,0,0,0,0,0,0,19,0.0,150,11:30,5,31,2,7,22.2
Kieffer Bellows,24,PHI,LW,12,0,0,0,-5,6,-0.4,0,0,0,0,0,0,0,19,0.0,142,11:52,5,28,2,7,22.2
Kieffer Bellows,24,NYI,LW,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,,7,7:16,0,3,0,0,
Emil Bemstrom,23,CBJ,C,7,2,2,4,0,2,0.4,2,0,0,0,1,1,0,16,12.5,90,12:54,1,5,1,2,33.3
Matthew Beniers,20,SEA,C,32,11,14,25,5,2,2.5,8,3,0,2,12,2,0,63,17.5,551,17:13,23,38,179,218,45.1
Jamie Benn,33,DAL,LW,35,13,19,32,9,16,3.8,6,7,0,1,11,8,0,78,16.7,529,15:06,14,39,233,147,61.3
Jordie Benn,35,TOR,D,7,1,1,2,1,10,0.5,1,0,0,1,1,0,0,10,10.0,118,16:48,21,20,0,0,
Sam Bennett,26,FLA,C,35,7,16,23,-5,34,1.5,6,1,0,1,12,4,0,109,6.4,637,18:11,26,88,227,279,44.9
Matt Benning,28,SJS,D,35,1,13,14,-6,16,1.7,1,0,0,0,12,1,0,26,3.8,683,19:30,57,54,0,0,
Simon Benoit,24,ANA,D,31,0,1,1,-13,39,-0.2,0,0,0,0,1,0,0,28,0.0,575,18:34,51,87,0,0,
Tyler Benson,24,EDM,LW,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,13,6:17,0,2,0,0,
Patrice Bergeron,37,BOS,C,33,13,14,27,19,4,3.5,8,5,0,2,9,5,0,110,11.8,598,18:07,26,28,460,293,61.1
Jonatan Berggren,22,DET,RW,19,4,6,10,-2,4,0.8,2,2,0,0,3,3,0,29,13.8,242,12:45,10,5,1,0,100.0
Jacob Bernard-Docker,22,OTT,D,6,0,1,1,1,7,0.3,0,0,0,0,1,0,0,6,0.0,106,17:44,6,9,0,0,
Tim Berni,22,CBJ,D,10,0,0,0,-8,6,-0.4,0,0,0,0,0,0,0,14,0.0,184,18:21,14,20,0,0,
Tyler Bertuzzi,27,DET,LW,9,1,3,4,-1,4,0.2,1,0,0,0,2,1,0,22,4.5,140,15:32,4,9,0,1,0.0
William Bitten,24,STL,C,4,0,1,1,1,0,0.1,0,0,0,0,1,0,0,0,,27,6:39,0,10,0,0,
Anders Bjork,26,BUF,LW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,10,9:38,0,0,0,0,

Marcus Bjork,25,CBJ,D,20,3,6,9,-5,16,1.2,2,1,0,0,2,4,0,23,13.0,391,19:33,36,27,0,0,
Oliver Bjorkstrand,27,SEA,RW,32,4,12,16,1,4,0.9,3,1,0,0,10,2,0,86,4.7,494,15:27,22,23,7,12,36.8
Tobias Bjornfot,21,LAK,D,4,0,1,1,1,0,0.2,0,0,0,0,1,0,0,7,0.0,60,15:04,3,6,0,0,
Nick Bjugstad,30,ARI,C,32,7,5,12,6,8,1.1,6,0,1,0,5,0,0,57,12.3,528,16:30,16,73,236,279,45.8
Colin Blackwell,29,CHI,C,27,0,3,3,-8,4,-0.4,0,0,0,0,2,0,1,30,0.0,326,12:05,11,30,13,12,52.0
Sammy Blais,26,NYR,LW,30,0,5,5,4,6,0.1,0,0,0,0,5,0,0,26,0.0,297,9:54,9,100,1,3,25.0
Nick Blankenburg,24,CBJ,D,7,2,1,3,-5,4,0.3,2,0,0,1,1,0,0,13,15.4,126,18:02,13,12,0,0,
Anton Blidh,27,COL,LW,9,0,0,0,-2,4,-0.2,0,0,0,0,0,0,0,8,0.0,64,7:10,2,16,0,2,0.0
Teddy Blueger,28,PIT,C,18,1,5,6,-2,10,0.2,1,0,0,0,4,0,1,21,4.8,222,12:21,10,24,75,79,48.7
Matej Blumel,22,DAL,RW,6,1,0,1,-2,0,0.0,1,0,0,0,0,0,0,7,14.3,58,9:42,2,7,0,0,
